OBJECTID,name,year,rate
30,Butler,2015,3.142857143
30,Butler,2016,2.967576792
30,Butler,2017,3.014134276
30,Butler,2018,2.982078853
30,Butler,2019,3.270875764
30,Butler,2020,3.507658643
30,Butler,2021,4.43442623
30,Butler,2022,3.489224138
31,Dubuque,2001,3.612620508
31,Dubuque,2002,3.509339281
31,Dubuque,2003,3.510516252
31,Dubuque,2004,0
31,Dubuque,2005,0
31,Dubuque,2006,3.046422101
31,Dubuque,2007,3.095336077
31,Dubuque,2008,2.993848112
31,Dubuque,2009,0
31,Dubuque,2010,0
31,Dubuque,2011,0
31,Dubuque,2012,0
31,Dubuque,2013,0
31,Dubuque,2014,2.864767932
31,Dubuque,2015,2.811039901
31,Dubuque,2016,2.892819318
31,Dubuque,2017,2.813394153
31,Dubuque,2018,2.445938579
31,Dubuque,2019,2.681971106
31,Dubuque,2020,2.649081209
31,Dubuque,2021,2.766171237
31,Dubuque,2022,2.700246204
32,Delaware,2001,4.716981132
32,Delaware,2002,4.338983051
32,Delaware,2003,4.264550265
32,Delaware,2004,1.798267327
32,Delaware,2005,1.783783784
32,Delaware,2006,3.820224719
32,Delaware,2007,3.295227525
32,Delaware,2008,3.634708738
32,Delaware,2009,1.47255113
32,Delaware,2010,1.355329949
32,Delaware,2011,1.233521657
32,Delaware,2012,1.252417795
32,Delaware,2013,1.252326784
32,Delaware,2014,2.768205128
32,Delaware,2015,2.757796258
32,Delaware,2016,2.765079365
32,Delaware,2017,2.835920177
32,Delaware,2018,2.764769066
32,Delaware,2019,2.838664812
32,Delaware,2020,2.876728111
32,Delaware,2021,3.138582677
32,Delaware,2022,2.865102639
33,Webster,2001,2.978203083
33,Webster,2002,2.867807154
33,Webster,2003,2.612158341
33,Webster,2004,0.600755073
33,Webster,2005,0.604911676
33,Webster,2006,2.268618166
33,Webster,2007,2.213163482
33,Webster,2008,2.209234609
33,Webster,2009,0.521063395
33,Webster,2010,0.503139717
33,Webster,2011,0.469783352
33,Webster,2012,0.435530086
